experiment,sample,length_in,area_in.2
exp 1,91,13.64,0.312
exp 1,91,20.4,0.525
exp 1,91,8.9,0.336
exp 1,91,13.31,0.407
exp 1,92,8.72,0.296
exp 1,92,6.77,0.237
exp 1,92,11.06,0.441
exp 1,92,8.77,0.319
exp 1,92,8.37,0.326
exp 1,92,7.39,0.224
exp 1,92,15.02,0.468
exp 1,93,6.03,0.228
exp 1,93,26.26,0.988
exp 1,93,13.41,0.444
exp 1,94,59.89,2.423
exp 1,94,36.79,1.594
exp 1,94,47.35,1.772
exp 1,94,49.88,1.906
exp 1,94,4.41,0.293
exp 1,94,52.19,2.089
exp 1,94,47.48,1.893
exp 1,94,43.96,2.061
exp 1,95,17.7,0.602
exp 1,95,7.85,0.217
exp 1,95,5.76,0.286
exp 1,95,14.37,0.526
exp 1,95,7.73,0.246
exp 1,96,14.65,0.536
exp 1,96,7.34,0.164
exp 1,96,10.96,0.43
exp 1,96,2.78,0.11
exp 1,96,9.42,0.288
exp 1,96,25.8,0.745
exp 1,96,5.76,0.3
exp 1,96,22.31,1.2
exp 1,97,9.12,0.303
exp 1,97,2.85,0.153
exp 1,97,2.88,0.206
exp 1,97,4.81,0.235
exp 1,97,9.96,0.494
exp 1,97,5.06,0.187
exp 1,97,2.85,0.12
exp 1,98,5.81,0.416
exp 1,98,4.49,0.257
exp 1,98,10.52,0.632
exp 1,98,11.11,0.709
exp 1,98,16.65,1.121
exp 1,98,22.21,1.438
exp 1,99,44.25,1.682
exp 1,99,68.75,2.572
exp 1,99,76.99,3.22
exp 1,99,72.46,3.044
exp 1,99,70.96,2.966
exp 1,99,69.97,2.905
 exp 2,1,94.88,1.275
 exp 2,2,284.42,3.842
 exp 2,3,415.96,6.195
 exp 2,4,86.47,1.614
 exp 2,5,119.61,2.83
 exp 2,7,406.21,8.173
 exp 2,14,187.42,4.64
 exp 2,15,92.71,1.583
 exp 2,16,143.65,3.276
 exp 2,17,96.63,3.152
 exp 2,18,97.16,2.521
 exp 2,19,28.42,0.587
 exp 2,20,216.87,5.416
 exp 2,21,192.11,3.521
 exp 2,22,324.89,5.269
 exp 2,23,139.71,2.669
 exp 2,24,414.59,8.533
 exp 2,25,62.57,1.123
 exp 2,26,83.74,1.643
 exp 2,27,82.96,1.576
 exp 2,28,138.75,2.964
 exp 2,6,169.95,3.296
 exp 2,29,388.73,8.086
 exp 2,30,250.28,5.531
 exp 2,31,146.04,3.018
 exp 2,32,364.77,9.391
 exp 2,33,108.87,2.351
 exp 2,34,118.79,2.649
 exp 2,35,173.04,3.897
 exp 2,36,101.12,2.215
 exp 2,37,102.56,1.839
 exp 2,38,115.15,1.94
 exp 2,39,371.9,6.661
 exp 2,40,436.69,8.919
 exp 2,41,170,2.715
 exp 2,42,123.56,2.589
 exp 2,43,197.11,3.976
 exp 2,44,170.24,3.564
 exp 2,45,463.29,9.907
 exp 2,46,531.81,10.452
 exp 2,47,88.34,1.903
 exp 2,48,73.62,1.383
 exp 2,49,481.7,9.337
 exp 2,50,127.19,2.612
 exp 2,51,96.33,1.756
 exp 2,52,66.2,1.272
 exp 2,53,488.83,10.498
 exp 2,54,128.1,2.755
 exp 2,55,464.69,8.63
 exp 2,56,438.86,8.793
 exp 2,57,503.03,11.205
 exp 2,58,127.41,2.582
 exp 2,59,116.66,2.271
 exp 2,60,425.13,7.574
 exp 2,61,275.59,4.859
 exp 2,62,134.14,2.696
 exp 2,63,162.88,3.668
 exp 2,64,105.7,1.756
 exp 2,65,519.34,10.184
 exp 2,66,541.82,9.409
 exp 2,67,423.25,7.678
 exp 2,68,134.7,2.384
 exp 2,69,46.28,0.771
 exp 2,70,470.15,9.988
 exp 2,71,166.19,3.319
 exp 2,72,69.49,1.299
 exp 2,73,125.42,2.476
 exp 2,74,164.84,3.155
 exp 2,75,485.58,11.303
 exp 2,76,492.58,10.791
 exp 2,77,105.21,2.321
 exp 2,78,300.21,6.828
 exp 2,79,170.61,3.665
 exp 2,80,93.27,1.811
 exp 2,81,145.21,2.462
 exp 2,82,309.84,7.143
 exp 2,83,199.48,4.139
 exp 2,84,102.28,1.6
 exp 2,85,354.92,8.345
 exp 2,86,354.92,8.132
 exp 2,87,130.88,2.297
 exp 2,88,279.22,5.599
 exp 2,89,110.13,2.035
 exp 2,90,365.71,7.66
 exp 2,91,91.94,1.721
 exp 2,92,193.65,3.769
 exp 2,93,133.81,2.877
 exp 2,94,347.31,6.673
 exp 2,95,68.5,1.216
 exp 2,96,84.55,1.589
 exp 2,97,64.24,1.071
 exp 2,98,88.95,1.393
 exp 2,99,82.8,1.584
 exp 3,1,30.58,0.818
 exp 3,2,199,5.104
 exp 3,3,163.3,3.993
 exp 3,4,20.67,0.532
 exp 3,5,147.81,4.12
 exp 3,6,26.89,0.554
 exp 3,7,140.73,3.604
 exp 3,8,190.35,5.205
 exp 3,9,64.65,1.604
 exp 3,10,40.46,0.855
 exp 3,11,31.27,0.736
 exp 3,12,94.31,2.704
 exp 3,13,145.54,3.752
 exp 3,14,30.19,0.687
 exp 3,15,86.28,2.317
 exp 3,16,57.45,1.586
 exp 3,17,21.63,0.523
 exp 3,18,65.54,1.604
 exp 3,19,26.2,0.53
 exp 3,20,14.39,0.378
 exp 3,21,99.63,2.577
 exp 3,22,10.19,0.287
 exp 3,23,31.4,0.859
 exp 3,24,8.27,0.216
 exp 3,25,57.74,1.339
 exp 3,26,9.85,0.287
 exp 3,27,132.72,3.976
 exp 3,28,41.69,1.163
 exp 3,29,135.28,3.646
 exp 3,30,46.51,1.037
 exp 3,31,45.41,45.41
 exp 3,32,60.16,1.057
 exp 3,33,24.1,0.48
 exp 3,34,141.25,3.107
 exp 3,35,32.57,0.75
 exp 3,36,193.66,3.734
 exp 3,37,85.97,1.756
 exp 3,38,45.39,0.821
 exp 3,39,12.49,0.274
 exp 3,40,25.2,0.591
 exp 3,41,33.67,0.621
 exp 3,42,13.13,0.329
 exp 3,43,26.29,0.61
 exp 3,44,68.8,1.303
 exp 3,45,10.11,0.285
 exp 3,46,63.69,1.3
 exp 3,47,60.17,0.975
 exp 3,48,122.15,2.302
 exp 3,49,41.7,0.971
 exp 3,50,51.59,0.949
 exp 3,51,12.58,0.339
 exp 3,52,91.72,1.851
 exp 3,53,26.48,0.542
 exp 3,54,17.95,0.476
 exp 3,55,21.78,0.438
 exp 3,56,40.54,0.815
 exp 3,57,38.4,0.766
 exp 3,58,10.65,0.26
 exp 3,59,38.18,1.02
 exp 3,60,133.56,2.823
 exp 3,61,35.13,0.67
 exp 3,62,24.67,0.506
 exp 3,63,29.76,0.65
 exp 3,64,90.28,1.618
 exp 3,65,37.11,0.658
 exp 3,66,25.97,0.616
 exp 3,67,53.06,0.941
 exp 3,68,154.22,2.516
 exp 3,69,20.43,0.523
 exp 3,70,41.88,0.765
 exp 3,71,17.61,0.324
 exp 3,72,13.23,0.335
 exp 3,73,108.21,2.077
 exp 3,74,12.39,0.235
 exp 3,75,186.26,3.343
 exp 3,76,17.02,0.283
 exp 3,77,17.66,0.293
 exp 3,78,88.44,1.452
 exp 3,79,99.97,1.645
 exp 3,80,11.88,0.302
 exp 3,81,29.04,0.65
 exp 3,82,53.16,1.068
 exp 3,83,52.68,1.287
 exp 3,84,134.13,2.65
 exp 3,85,27.46,0.592
 exp 3,86,13.34,0.292
 exp 3,87,51.73,0.987
 exp 3,88,18.5,0.349
 exp 3,89,25.69,0.489
 exp 3,90,26.03,0.513
 exp 3,91,140.85,2.405
 exp 3,92,9.92,0.218
 exp 3,93,22.99,0.427
 exp 3,94,24.2,0.454
 exp 3,95,119.1,2.217
 exp 3,96,129.26,2.788
 exp 3,97,14.58,0.302
 exp 3,98,12.74,0.292
 exp 3,99,12.75,0.284
